objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
brianwallerprocter2,An alternative page featuring the portrait of Brian Waller Procter,J.H. Leigh Hunt,1821,An image of the alternative page featuring Brian Waller Procter,brian waller procter;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/237/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/237/full/133,100/0/default.jpg",,
blankpage13,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/238/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/238/full/133,100/0/default.jpg",,
thomassouthwoodsmithpage,The portrait and hair of Thomas Southwood Smith,J.H. Leigh Hunt,1845,An image of the page featuring the hair and portrait of Thomas Southwood Smith,thomas southwood smith;hair;physicians,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/239/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/239/full/133,100/0/default.jpg",,
thomassouthwoodsmithback,The backside of the page featuring Thomas Southwood Smith,J.H. Leigh Hunt,1845,An image of the backside of the page featuring Thomas Southwood Smith,thomas southwood smith;physicians,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/240/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/240/full/132,100/0/default.jpg",,
thomassouthwoodsmithpage2,An alternative page featuring the portrait of Thomas Southwood Smith,J.H. Leigh Hunt,1845,An image of the alternative page featuring Thomas Southwood Smith,thomas southwood smith;physician,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/241/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/241/full/133,100/0/default.jpg",,
blankpage14,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/242/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/242/full/132,100/0/default.jpg",,
percybyssheshelleypage,The portrait and hair of Percy Bysshe Shelley,J.H. Leigh Hunt,1820,An image of the page featuring the portrait and hair of Percy Bysshe Shelley,percy bysshe shelley;hair;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/243/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/243/full/133,100/0/default.jpg",,
percybyssheshelleyback,The backside of the page featuring Percy Bysshe Shelley,J.H. Leigh Hunt,1820,An image of the backside of the page featuring Percy Bysshe Shelley,percy bysshe shelley;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/244/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/244/full/132,100/0/default.jpg",,
percybyssheshelleypage2,An alternative page featuring the portrait of Percy Bysshe Shelley,J.H. Leigh Hunt,1820,An image of the alternative page featuring Percy Bysshe Shelley,percy bysshe shelley;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/245/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/245/full/133,100/0/default.jpg",,
blankpage15,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/246/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/246/full/132,100/0/default.jpg",,
